id,Title,Director,Cast,Genre,year,imbd link
1387,Karishma Kudrat Kaa,Sunil Hingorani,"Rati Agnihotri, Urmila Bhatt, Mithun Chakraborty",Action,1985,http://www.imdb.com/find?q=Karishma+Kudrat+Kaa+1985+
1388,Karm Yudh,Swaroop Kumar,"Mithun Chakraborty, Anita Raj, Pran, Amrish Puri",,1985,http://www.imdb.com/find?q=Karm+Yudh+1985+
1389,Khamosh,Vidhu Vinod Chopra,"Shabana Azmi, Amol Palekar, Sudhir Mishra","Mystery, Thriller",1985,http://www.imdb.com/find?q=Khamosh+1985+
1390,Lallu Ram,Shiv Kumar,"Urmila Bhatt, Vyjayanti Chavan, Gajendra Chouhan","Action, Comedy, Drama",1985,http://www.imdb.com/find?q=Lallu+Ram+1985+
1391,Lava,,"Raj Babbar, Dimple Kapadia, Asha Parekh","Family, Drama",1985,http://www.imdb.com/find?q=Lava+1985+
1392,Lover Boy,Shomu Mukerji,"Rajiv Kapoor, Meenakshi Sheshadri, Anita Raj",,1985,http://www.imdb.com/find?q=Lover+Boy+1985+
1393,Maa Kasam,Shibu Mittra,"Mithun Chakraborty, Divya Rana, Ranjeet, Pran",,1985,http://www.imdb.com/find?q=Maa+Kasam+1985+
1394,Maha Sangramam,Kodanda Rami Reddy A.,"Jayapradha, Jayasudha, Pradeep Kumar",,1985,http://www.imdb.com/find?q=Maha+Sangramam+1985+
1395,Maha Shaktimaan,Swamy V.S.R.,"Raj Babbar, Meenakshi Sheshadri, Kim",,1985,http://www.imdb.com/find?q=Maha+Shaktimaan+1985+
1396,Mahaguru,S.S. Ravichandra,"Gulshan Grover, Shafi Inamdar, Jeetendra","Action, Comedy, Crime, Drama",1985,http://www.imdb.com/find?q=Mahaguru+1985+
1397,Mahasati Tulsi,Radhakant,"Rajni Bala, Kalpana Divan, Mohan Gokhale","Adventure, Drama, Fantasy, History",1985,http://www.imdb.com/find?q=Mahasati+Tulsi+1985+
1398,Main Khiloda Nahin,,"Kaajal Kiran, Jayshree T.",,1985,http://www.imdb.com/find?q=Main+Khiloda+Nahin+1985+
1399,Mard,Manmohan Desai,"Amitabh Bachchan, Amrita Singh, Prem Chopra, Helena, Nirupa Roy & Dara Singh",,1985,http://www.imdb.com/find?q=Mard+1985+
1400,Massey Sahib,Pradip Krishen,"Raghuvir Yadav, Barry John, Arundhati Roy",,1985,http://www.imdb.com/find?q=Massey+Sahib+1985+
1401,Masterji,K. Raghavendra Rao,"Rajesh Khanna, Sridevi, Anita Raj","Comedy, Drama",1985,http://www.imdb.com/find?q=Masterji+1985+
1402,Mati Manas,Mani Kaul,,,1985,http://www.imdb.com/find?q=Mati+Manas+1985+
1403,Meetha Zehar,Mohinder,"Padmini Kapila, Bharat Kapoor, Deepak Parashar",,1985,http://www.imdb.com/find?q=Meetha+Zehar+1985+
1404,Mehak,Chander Bahl,"Vijayendra Ghatge, Deepak Parashar, Shoma Anand",Family,1985,http://www.imdb.com/find?q=Mehak+1985+
1405,Mera Jawab,N. S. Raj Bharath,"Jackie Shroff, Meenakshi Sheshadri, Shakti Kapoor",,1985,http://www.imdb.com/find?q=Mera+Jawab+1985+
1406,Mera Saathi,K. Raghavendra Rao,"Asrani, Bharat Bhushan, Aruna Irani",Drama,1985,http://www.imdb.com/find?q=Mera+Saathi+1985+
1407,Meraa Ghar Mere Bachche,Chander Vohra,"Raj Babbar, Smita Patil, Meenakshi Sheshadri","Drama, Family",1985,http://www.imdb.com/find?q=Meraa+Ghar+Mere+Bachche+1985+
1408,Meri Jung,Subhash Ghai,"Anil Kapoor, Meenakshi Seshadri, Nutan, Kushboo, Javed Jaffrey, Amrish Puri",,1985,http://www.imdb.com/find?q=Meri+Jung+1985+
1409,Mirch Masala,Ketan Mehta,"Naseeruddin Shah, Smita Patil, Om Puri, Suresh Oberoi, Paresh Rawal, Ratna Pathak, Supriya Pathak, Dina Pathak, Mohan Gokhale",,1985,http://www.imdb.com/find?q=Mirch+Masala+1985+
1410,Misaal,Mirza Brothers,"Naseeruddin Shah, Vijayata Pandit, Shahrukh Mirza",Action,1985,http://www.imdb.com/find?q=Misaal+1985+
1411,Mohabbat,Bapu,"Anil Kapoor, Vijayata Pandit, Aruna Irani",Romance,1985,http://www.imdb.com/find?q=Mohabbat+1985+
1412,Mujhe Kasam Hai,,"Kaajal Kiran, Rameshwari",,1985,http://www.imdb.com/find?q=Mujhe+Kasam+Hai+1985+
1413,Nasoor,Ashok Chopra,"Om Puri, Priya Tendulkar, Sadashiv Amrapurkar",Drama,1985,http://www.imdb.com/find?q=Nasoor+1985+
1414,Oonche Log,Brij,"Rajesh Khanna, Salma Agha, Pradeep Kumar","Drama, Family",1985,http://www.imdb.com/find?q=Oonche+Log+1985+
1415,Paapi Sansar,,"Surendra Pal, Sadhana Singh, Nandita Thakur",,1985,http://www.imdb.com/find?q=Paapi+Sansar+1985+
1416,Paisa Yeh Paisa,Sohanlal Kanwar,"Bindu, Gulshan Grover, Pinchoo Kapoor","Action, Crime, Drama",1985,http://www.imdb.com/find?q=Paisa+Yeh+Paisa+1985+
1417,Pataal Bhairavi,K. Bapaiah,"Jeetendra, Jayapradha, Pran","Fantasy, Drama",1985,http://www.imdb.com/find?q=Pataal+Bhairavi+1985+
1418,Paththar,Deepak Bahry,"Om Puri, Anuradha Patel, Deepika",Crime,1985,http://www.imdb.com/find?q=Paththar+1985+
1419,Patthar Dil,Surendera Mohan,"Padmini Kolhapure, Danny Denzongpa, Kader Khan",,1985,http://www.imdb.com/find?q=Patthar+Dil+1985+
1420,Phaansi Ke Baad,Harmesh Malhotra,"Ajit, Vikas Anand, Bandini",Drama,1985,http://www.imdb.com/find?q=Phaansi+Ke+Baad+1985+
1421,Phir Aayee Barsat,Jaiprakashk Vinayak,"Harindranath Chattopadhyay, Saeed Jaffrey, Javed Khan",Romance,1985,http://www.imdb.com/find?q=Phir+Aayee+Barsat+1985+
1422,Piya Milan,,"Sachin, Sadhana Singh",,1985,http://www.imdb.com/find?q=Piya+Milan+1985+
1423,Pighalta Aasman,Shammi,"Shashi Kapoor, Rakhee Gulzar, Rati Agnihotri","Comedy, Drama, Romance",1985,http://www.imdb.com/find?q=Pighalta+Aasman+1985+
1424,Pyaari Bhabhi,K.C. Agarwal,"Lalita Pawar, Kanwaljit Singh",,1985,http://www.imdb.com/find?q=Pyaari+Bhabhi+1985+
1425,Pyar Jhukta Nahin,Vijay Sadanah,"Mithun Chakraborty, Padmini Kolhapure, Danny Denzongpa","Family, Romance",1985,http://www.imdb.com/find?q=Pyar+Jhukta+Nahin+1985+
1426,Pyari Behna,Bapu,"Mithun Chakraborty, Padmini Kolhapure, Tanvi Azmi","Action, Comedy, Drama",1985,http://www.imdb.com/find?q=Pyari+Behna+1985+
1427,Rahi Badal Gaye,Ravi Tandon,"Rishi Kapoor, Shabana Azmi, Padmini Kolhapure",Romance,1985,http://www.imdb.com/find?q=Rahi+Badal+Gaye+1985+
1428,Ram Tere Kitne Nam,P. Madhavan,"Sanjeev Kumar, Rekha, Prem Chopra","Drama, Family",1985,http://www.imdb.com/find?q=Ram+Tere+Kitne+Nam+1985+
1429,Ram Teri Ganga Maili,Raj Kapoor,"Rajiv Kapoor, Mandakini, Divya Rana, Shammi Kapoor, Kulbhushan Kharbanda & Sushma Seth",,1985,http://www.imdb.com/find?q=Ram+Teri+Ganga+Maili+1985+
1430,Ramkali,Sham Ralhan,"Hema Malini, Shatrughan Sinha, Nirupa Roy",,1985,http://www.imdb.com/find?q=Ramkali+1985+
1431,Rehguzar,,,,1985,http://www.imdb.com/find?q=Rehguzar+1985+
1432,Rusvai,,"Sanjeev Kumar, Raj Babbar",Musical,1985,http://www.imdb.com/find?q=Rusvai+1985+
1433,Saagar,Ramesh Sippy,"Rishi Kapoor, Kamal Haasan, Dimple Kapadia, Saeed Jaffrey, Nadira",,1985,http://www.imdb.com/find?q=Saagar+1985+
1434,Sajan Tara Sambharna,Abbas-Mastan,,,1985,http://www.imdb.com/find?q=Sajan+Tara+Sambharna+1985+
1435,Sanjhi,,"Sadashiv Amrapurkar, Naina Behl, Goga Kapoor",Drama,1985,http://www.imdb.com/find?q=Sanjhi+1985+
1436,Sanjog,K. Vishwanath,"Jeetendra, Jayapradha, Vinod Mehra",Romance,1985,http://www.imdb.com/find?q=Sanjog+1985+
1437,Sarfarosh,,"Asrani, Bharat Bhushan, Bindu, Pran",,1985,http://www.imdb.com/find?q=Sarfarosh+1985+
1438,Sautela Pati,B. R. Ishara,"Raj Kiran, Devendra Khandelwal, Asha Sachdev",,1985,http://www.imdb.com/find?q=Sautela+Pati+1985+
1439,Shiva Ka Insaaf,Raj N. Sippy,"Birbal, Poonam Dhillon, Gulshan Grover",,1985,http://www.imdb.com/find?q=Shiva+Ka+Insaaf+1985+
1440,Sur Sangam,K. Vishwanath,"Girish Karnad, Jayapradha, Sachin","Comedy, Drama, Musical",1985,http://www.imdb.com/find?q=Sur+Sangam+1985+
1441,Surkhiyaan (The Headlines),Ashok Tyagi,"Arun Bakshi, Brahm Bhardwaj, Krishan Dhawan","Action, Crime, Drama",1985,http://www.imdb.com/find?q=Surkhiyaan+(The+Headlines)+1985+
1442,Tawaif,B. R. Chopra,"Ashok Kumar, Rishi Kapoor, Rati Agnihotri","Comedy, Drama, Romance, Family",1985,http://www.imdb.com/find?q=Tawaif+1985+
1443,Telephone,"Shyam Ramsay, Tulsi Ramsay","Vikas Anand, Parveen Babi, Dr. Satish Chopra",Thriller,1985,http://www.imdb.com/find?q=Telephone+1985+
1444,Teri Meherbaniyan,Vijay Reddi,"Jackie Shroff, Poonam Dhillon, Raj Kiran","Action, Crime, Drama, Family",1985,http://www.imdb.com/find?q=Teri+Meherbaniyan+1985+
1445,Teri Pooja Kare Sansaar,Bharat Kapoor,,,1985,http://www.imdb.com/find?q=Teri+Pooja+Kare+Sansaar+1985+
1446,Trikal,Shyam Benegal,"Leela Naidu, Neena Gupta, Anita Kanwar",Drama,1985,http://www.imdb.com/find?q=Trikal+1985+
1447,Triveni,Rajan Thakur,"Rati Agnihotri, Raj Babbar, Purnima",,1985,http://www.imdb.com/find?q=Triveni+1985+
1448,Ulta Seedha,Subodh Mukerji,"Raj Babbar, Rati Agnihotri, Deevan Verma",Comedy,1985,http://www.imdb.com/find?q=Ulta+Seedha+1985+
1449,Uttarayan,Lekh Tandon,,,1985,http://www.imdb.com/find?q=Uttarayan+1985+
1450,Wafadaar,"Narayana Rao Dasari, Pilla Srinivas","Rajnikanth, Padmini Kolhapure, Vijayata Pandit",,1985,http://www.imdb.com/find?q=Wafadaar+1985+
1451,Yaadon Ki Kasam,Vinod Dewan,"Mithun Chakraborty, Zeenat Aman, Shakti Kapoor",Action,1985,http://www.imdb.com/find?q=Yaadon+Ki+Kasam+1985+
1452,Yaar Kasam,K. Prasad,"Zeenat Aman, Raj Babbar, Anita Raj",,1985,http://www.imdb.com/find?q=Yaar+Kasam+1985+
1453,Yudh,,"Anil Kapoor, Tina Munim, Jackie Shroff, Pran",,1985,http://www.imdb.com/find?q=Yudh+1985+
1454,Zabardast,Nasir Husain,"Sanjeev Kumar, Sunny Deol, Rajiv Kapoor","Action, Drama",1985,http://www.imdb.com/find?q=Zabardast+1985+
1455,Zamana,Ramesh Talwar,"Rajesh Khanna, Rishi Kapoor, Poonam Dhillon","Action, Crime, Drama, Thriller, Romance",1985,http://www.imdb.com/find?q=Zamana+1985+
1456,Zulm Ka Badla,K. Prasad,"Ameeta, Minoo Babbar, Master Bunty","Action, Crime, Drama",1985,http://www.imdb.com/find?q=Zulm+Ka+Badla+1985+
1457,Aadamkhor,Joginder,"Joginder Shelly, Neelam Mehra, Nazneen",,1986,http://www.imdb.com/find?q=Aadamkhor+1986+
1458,Aag Aur Shola,K. Bapaiah,"Shoma Anand, Asrani, Bindu",,1986,http://www.imdb.com/find?q=Aag+Aur+Shola+1986+
1459,Aakhree Raasta,,"Amitabh Bachchan, Sridevi, Jaya Prada, Sadashiv Amrapurkar",,1986,http://www.imdb.com/find?q=Aakhree+Raasta+1986+
1460,Aap Ke Saath,J. Om Prakash,"Smita Patil, Anil Kapoor, Rati Agnihotri","Drama, Family",1986,http://www.imdb.com/find?q=Aap+Ke+Saath+1986+
1461,Aashiana,Mahesh Bhatt,"Mark Zubair, Deepti Naval, Soni Razdan",,1986,http://www.imdb.com/find?q=Aashiana+1986+
1462,Adhikar,"Chitrayug, Vijay Sadanah","Rajesh Khanna, Tina Munim, Zarina Wahab",,1986,http://www.imdb.com/find?q=Adhikar+1986+
1463,Aisa Pyaar Kahan,Vijay Sadanah,"Jeetendra, Jayapradha, Mithun Chakraborty",,1986,http://www.imdb.com/find?q=Aisa+Pyaar+Kahan+1986+
1464,Albela,,,Romance,1986,http://www.imdb.com/find?q=Albela+1986+
1465,Allah-Rakha,Ketan M. Desai,"Jackie Shroff, Shammi Kapoor, Waheeda Rehman",,1986,http://www.imdb.com/find?q=Allah-Rakha+1986+
1466,Amrit (film),Mohan Kumar,"Rajesh Khanna, Smita Patil, Aruna Irani","Drama, Family",1986,http://www.imdb.com/find?q=Amrit+(film)+1986+
1467,Anaadi Anant,Prakash Jha,"Surekha Sikri, Vasant Jasaljar, Suman Kumar",,1986,http://www.imdb.com/find?q=Anaadi+Anant+1986+
1468,Andaz Pyaar Ka,,Neelam,,1986,http://www.imdb.com/find?q=Andaz+Pyaar+Ka+1986+
1469,Andheri Raat Mein Diya Tere Haath Mein,Dada Kondke,"Dada Kondke, Usha Chavan, Dina Pathak",,1986,http://www.imdb.com/find?q=Andheri+Raat+Mein+Diya+Tere+Haath+Mein+1986+
1470,Angaaray,Rajesh Seth,"Rajesh Khanna, Smita Patil, Raj Babbar","Adventure, Crime, Romance",1986,http://www.imdb.com/find?q=Angaaray+1986+
1471,Ankush,N. Chandra,"Nana Patekar, Rabia Amin, Raja Bundela",Drama,1986,http://www.imdb.com/find?q=Ankush+1986+
1472,Anokha Insaan,,"T.P. Jain, Padma Khanna",,1986,http://www.imdb.com/find?q=Anokha+Insaan+1986+
1473,Anokha Rishta,I.V. Sasi,"Rajesh Khanna, Smita Patil, Sabeeha",Drama,1986,http://www.imdb.com/find?q=Anokha+Rishta+1986+
1474,Anubhav,Kashinath,"Shekhar Suman, Padmini Kolhapure, Padma Khanna","Comedy, Drama",1986,http://www.imdb.com/find?q=Anubhav+1986+
1475,Asli Naqli,Sudershan Nag,"Shatrughan Sinha, Rajnikanth, Anita Raj",,1986,http://www.imdb.com/find?q=Asli+Naqli+1986+
1476,Avinash,Umesh Mehra,"Mithun Chakraborty, Poonam Dhillon, Bindiya Goswami","Action, Crime, Drama",1986,http://www.imdb.com/find?q=Avinash+1986+
1477,Baat Ban Jaye,Bharat Rangachary,"Zeenat Aman, Amol Palekar, Utpal Dutt",,1986,http://www.imdb.com/find?q=Baat+Ban+Jaye+1986+
1478,Babul,Govind Moonis,"Aakash, Brahmachari, Shreechand Makhija",Drama,1986,http://www.imdb.com/find?q=Babul+1986+
1479,Badkaar,,Sadhana Singh,,1986,http://www.imdb.com/find?q=Badkaar+1986+
1480,Bhagwaan Dada,J. Om Prakash,"Rajnikanth, Rakesh Roshan, Sridevi",,1986,http://www.imdb.com/find?q=Bhagwaan+Dada+1986+
1481,Bhai Ka Dushman Bhai,Sudesh Issar,"Puneet Issar, Suresh Oberoi, Rameshwari",,1986,http://www.imdb.com/find?q=Bhai+Ka+Dushman+Bhai+1986+
1482,Car Thief,Sameer Malkan,"Suneil Anand, Vijayata Pandit, Kevin Mukherji",,1986,http://www.imdb.com/find?q=Car+Thief+1986+
1483,Chambal Ka Badshah,S. Dinesh,"Danny Denzongpa, Roma Manik, Raj Kiran",,1986,http://www.imdb.com/find?q=Chambal+Ka+Badshah+1986+
1484,Chameli Ki Shaadi,Basu Chatterjee,"Anil Kapoor, Amrita Singh, Om Prakash","Comedy, Drama, Romance",1986,http://www.imdb.com/find?q=Chameli+Ki+Shaadi+1986+
1485,Chhota Aadmi,Krishnakant,"Naresh Kanodiya, Komal Mahuvakar, Jayshree T.",,1986,http://www.imdb.com/find?q=Chhota+Aadmi+1986+
1486,Congregation,Muzaffar Ali,"Shabana Azmi, Farooq Shaikh, Rohini Hattangadi",Drama,1986,http://www.imdb.com/find?q=Congregation+1986+
1487,Dahleez,Ravi Chopra,"Jackie Shroff, Raj Babbar, Meenakshi Sheshadri","Drama, Family, Action",1986,http://www.imdb.com/find?q=Dahleez+1986+
1488,Dancing City,,,Romance,1986,http://www.imdb.com/find?q=Dancing+City+1986+
1489,Dharm Adhikari,,"Dilip Kumar, Jeetendra, Sridevi, Pran",,1986,http://www.imdb.com/find?q=Dharm+Adhikari+1986+
1490,Dilwaala,K. Murali Mohana Rao,"Asrani, Mithun Chakraborty, Dulari, Pran",,1986,http://www.imdb.com/find?q=Dilwaala+1986+
1491,Dosti Dushmani,T. Rama Rao,"Jeetendra, Rishi Kapoor, Bhanupriya, Poonam Dhillon, Pran",,1986,http://www.imdb.com/find?q=Dosti+Dushmani+1986+
1492,Durgaa Maa,K.S. Reddy,"Beena Banerjee, Shubha Khote, Raj Kiran",,1986,http://www.imdb.com/find?q=Durgaa+Maa+1986+
1493,Duty,Ravikant Nagaich,"Arun Bakshi, Rakesh Bedi, Govinda",,1986,http://www.imdb.com/find?q=Duty+1986+
1494,108 Teerthyatra,Rajpati,"Pravin Anand, Nayan Bhatt, Jeetu","Comedy, Drama, Fantasy",1987,http://www.imdb.com/find?q=108+Teerthyatra+1987+
1495,7 Saal Baad,S.U. Syed,"Major Anand, Chandrashekhar, Anil Chaudhary","Romance, Horror, Drama, Fantasy",1987,http://www.imdb.com/find?q=7+Saal+Baad+1987+
1496,Aag Hi Aag,Shibu Mitra,"Dharmendra, Shatrughan Sinha, Moushumi Chatterjee, Neelam",Action,1987,http://www.imdb.com/find?q=Aag+Hi+Aag+1987+
1497,Aage Mod Hai,,,,1987,http://www.imdb.com/find?q=Aage+Mod+Hai+1987+
1498,Aaj,Mahesh Bhatt,"Raj Babbar, Kumar Gaurav, Raj Kiran",,1987,http://www.imdb.com/find?q=Aaj+1987+
1499,Ahsaan,Balwant Dullat,"Raj Babbar, Amjad Khan, Raj Kiran, Smita Patel",,1987,http://www.imdb.com/find?q=Ahsaan+1987+
1500,Andha Yudh,Dayal Nihalani,"Raj Babbar, Nana Patekar, Pallavi Joshi, Divya Rana, Rohini Hattangadi","Drama, Thriller",1987,http://www.imdb.com/find?q=Andha+Yudh+1987+
1501,Anjaam,T. Hariharan,"Shafi Inamdar, Shashi Kapoor, Hema Malini",,1987,http://www.imdb.com/find?q=Anjaam+1987+
1502,Apne Apne,Ramesh Behl,"Beena Banerjee, Atlee Brar, Dan Dhanoa",,1987,http://www.imdb.com/find?q=Apne+Apne+1987+
1503,Aulad,Vijay Sadanah,"Jeetendra, Jayapradha, Sridevi",Drama,1987,http://www.imdb.com/find?q=Aulad+1987+
1504,Awam (film),B.R Chopra,"Rajesh Khanna, Ashok Kumar, Smita Patil","Adventure, Mystery, Thriller",1987,http://www.imdb.com/find?q=Awam+(film)+1987+
1505,Bandhani,Ketan Mehta,,,1987,http://www.imdb.com/find?q=Bandhani+1987+
1506,Banoo,"Madan Jain, Jayshree T.",,,1987,http://www.imdb.com/find?q=Banoo+1987+
1507,Besahara,B.R. Ishara,,,1987,http://www.imdb.com/find?q=Besahara+1987+
1508,Dacait,Rahul Rawail,"Rakhee Gulzar, Sunny Deol, Meenakshi Sheshadri",Action,1987,http://www.imdb.com/find?q=Dacait+1987+
1509,Dadagiri (film),Deepak S. Shivdasani,"Dharmendra, Govinda, Rati Agnihotri","Action, Crime, Drama, Romance",1987,http://www.imdb.com/find?q=Dadagiri+(film)+1987+
1510,Dak Bangla,Keshu Ramsay,"Aaloka, Bhakti Bhansali, Leena Das",Horror,1987,http://www.imdb.com/find?q=Dak+Bangla+1987+
1511,Daku Hasina,Ashok Roy,"Zeenat Aman, Rajnikanth, Pradeep Kumar",,1987,http://www.imdb.com/find?q=Daku+Hasina+1987+
1512,Dance Dance,B. Subhash,"Mithun Chakraborty, Smita Patil, Mandakini",,1987,http://www.imdb.com/find?q=Dance+Dance+1987+
1513,Daraar,"Kiran Kumar, Chunky Pandey",,,1987,http://www.imdb.com/find?q=Daraar+1987+
1514,Deewana Tere Naam Ka,Deepak Bahry,"Master Bhagwan, Mithun Chakraborty, Leena Das, Vijeta Pandit",,1987,http://www.imdb.com/find?q=Deewana+Tere+Naam+Ka+1987+
1515,Dil Tujhko Diya,Rakesh Kumar,"Kumar Gaurav, Rati Agnihotri, Mala Sinha",,1987,http://www.imdb.com/find?q=Dil+Tujhko+Diya+1987+
1516,Diljalaa,Bapu,"Rita Bhaduri, Kamal Chopra, Danny Denzongpa, Farha Naaz","Action, Crime, Drama, Romance",1987,http://www.imdb.com/find?q=Diljalaa+1987+
1517,Dilruba Tangewali,S. R. Pratap,"Hemant Birje, Sripada, Pran, Deva, Rajendra Nath, Krishna Devi, Chand Usmani",,1987,http://www.imdb.com/find?q=Dilruba+Tangewali+1987+
1518,Dozakh,Suhaas Khandke,"Pallavi Bhatt, Trilok Kapoor, Suhaas Khandke",,1987,http://www.imdb.com/find?q=Dozakh+1987+
1519,Ek Aur Itihas,Prakash Jha,,,1987,http://www.imdb.com/find?q=Ek+Aur+Itihas+1987+
1520,Ek Chor Ek Hasina,K. Ragavendra Rao,"Sridevi, Krishna Ghattamaneni",,1987,http://www.imdb.com/find?q=Ek+Chor+Ek+Hasina+1987+
1521,Ek Ladki Badnaam Si,,,,1987,http://www.imdb.com/find?q=Ek+Ladki+Badnaam+Si+1987+
1522,Faqeer Badshah,Subhash,"Danny Denzongpa, Roma Manik, Bindu",Action,1987,http://www.imdb.com/find?q=Faqeer+Badshah+1987+
1523,Ghar Ka Sukh,Kalpataru,Raj Kiran,,1987,http://www.imdb.com/find?q=Ghar+Ka+Sukh+1987+
1524,Goraa,Desh Gautam,"Rajesh Khanna, Sulakshana Pandit, Raj Kiran, Pran",,1987,http://www.imdb.com/find?q=Goraa+1987+
1525,Gulami Ki Zaanjeerein,,Kader Khan,,1987,http://www.imdb.com/find?q=Gulami+Ki+Zaanjeerein+1987+
1526,Hamari Jung,Rajesh Bahaduri,"Mohan Choti, Irshad Khan, Rajshri Nair",Action,1987,http://www.imdb.com/find?q=Hamari+Jung+1987+
1527,Hawalaat,Surendera Mohan,"Mithun Chakraborty, Rishi Kapoor, Padmini Kolhapure, Mandakini","Action, Drama, Adventure, Crime",1987,http://www.imdb.com/find?q=Hawalaat+1987+
1528,Hifazat,Prayag Raj,"Ashok Kumar, Nutan, Anil Kapoor, Madhuri Dixit, Pran","Drama, Family",1987,http://www.imdb.com/find?q=Hifazat+1987+
1529,Himmat Aur Mehanat,K. Bapaiah,"Shammi Kapoor, Jeetendra, Poonam Dhillon","Action, Drama",1987,http://www.imdb.com/find?q=Himmat+Aur+Mehanat+1987+
1530,Hiraasat,Surendra Mohan,"Shatrughan Sinha, Mithun Chakraborty, Hema Malini, Anita Raj","Action, Crime, Drama",1987,http://www.imdb.com/find?q=Hiraasat+1987+
1531,Hukumat,Anil Sharma,"Dharmendra, Rati Agnihotri",,1987,http://www.imdb.com/find?q=Hukumat+1987+
1532,Ijaazat,Gulzar,"Rekha, Naseeruddin Shah, Anuradha Patel","Drama, Musical, Romance",1987,http://www.imdb.com/find?q=Ijaazat+1987+
1533,Imaandaar,Sushil Malik,"Sanjay Dutt, Farha Naaz, Pran","Action, Crime, Drama",1987,http://www.imdb.com/find?q=Imaandaar+1987+
1534,Inaam Dus Hazaar,Jyotin Goel,"Sanjay Dutt, Meenakshi Sheshadri, Amrish Puri",Action,1987,http://www.imdb.com/find?q=Inaam+Dus+Hazaar+1987+
1535,Insaaf,Mukul S. Anand,"Vinod Khanna, Dimple Kapadia, Suresh Oberoi",Action,1987,http://www.imdb.com/find?q=Insaaf+1987+
1536,Insaaf Kaun Karega,Sudarsan Nag,"Dharmendra, Rajnikant, Jayaprada, Madhavi, Pran",,1987,http://www.imdb.com/find?q=Insaaf+Kaun+Karega+1987+
1537,Insaf Ki Pukar,T. Rama Rao,"Dharmendra, Jeetendra, Anita Raj, Bhanupriya",,1987,http://www.imdb.com/find?q=Insaf+Ki+Pukar+1987+
1538,Insaniyat Ke Dushman,Rajkumar Kohli,"Dharmendra, Shatrughan Sinha, Anita Raj, Dimple Kapadia",Action,1987,http://www.imdb.com/find?q=Insaniyat+Ke+Dushman+1987+
1539,Itihaas,V. Joshi,"Raaj Kumar, Shabana Azmi, Anil Kapoor, Rati Agnihotri","Drama, Family",1987,http://www.imdb.com/find?q=Itihaas+1987+
1540,Jaago Hua Savera,Shaukat Jamali,"Shoma Anand, A.K. Hangal, Rohini Hattangadi",,1987,http://www.imdb.com/find?q=Jaago+Hua+Savera+1987+
1541,Jaan Hatheli Pe,R. Jhalani,"Dharmendra, Jeetendra, Raj Babbar, Rekha, Hema Malini",Action,1987,http://www.imdb.com/find?q=Jaan+Hatheli+Pe+1987+
1542,Jalwa,Pankaj Parashar,"Naseeruddin Shah, Archna Pooran Singh, Rohini Hattangady, Amitabh Bachchan",,1987,http://www.imdb.com/find?q=Jalwa+1987+
1543,Jawab Hum Denge,Vijay Reddi,"Jackie Shroff, Sridevi, Shatrughan Sinha",,1987,http://www.imdb.com/find?q=Jawab+Hum+Denge+1987+
1544,Jhanjhaar,V. Shantaram,"Padmini Kolhapure, Sushant Roy, Ranjana Deshmukh, Sudhir Pandey, Yunus Pervez",Social Drama,1987,http://www.imdb.com/find?q=Jhanjhaar+1987+
1545,Kamagni,Ashok Kumar,"Sujit Kumar, Shreeram Lagoo, Tina Munim","Drama, Music",1987,http://www.imdb.com/find?q=Kamagni+1987+
1546,Kaash,Mahesh Bhatt,"Jackie Shroff, Dimple Kapadia, Master Makrand","Drama, Family",1987,http://www.imdb.com/find?q=Kaash+1987+
1547,Kachchi Kali,K.R. Rangan,"Sonika Gill, Kapil Karzan, Ajinkya Deo",,1987,http://www.imdb.com/find?q=Kachchi+Kali+1987+
1548,Kalyug Aur Ramayan,Babubhai Mistry,"Manoj Kumar, Rajiv Goswami, Madhavi",Drama,1987,http://www.imdb.com/find?q=Kalyug+Aur+Ramayan+1987+
1549,Kaun Kitney Pani Mein,,Mahendra Sandhu,,1987,http://www.imdb.com/find?q=Kaun+Kitney+Pani+Mein+1987+
1550,Khazana,Harmesh Malhotra,"Randhir Kapoor, Rekha, Bindu","Action, Crime, Drama, Thriller",1987,http://www.imdb.com/find?q=Khazana+1987+
1551,Khudgarz,Rakesh Roshan,"Jeetendra, Shatrughan Sinha, Govinda, Amrita Singh, Bhanupriya, Neelam","Drama, Family, Musical",1987,http://www.imdb.com/find?q=Khudgarz+1987+
1552,Kudrat Ka Kanoon,"K.C. Bokadia, S.A. Chandrashekhar","Jackie Shroff, Hema Malini, Pran",,1987,http://www.imdb.com/find?q=Kudrat+Ka+Kanoon+1987+
1553,Loha,Raj Shippy,"Dharmendra, Shatrughan Sinha, Madhavi, Mandakini","Action, Crime, Drama",1987,http://www.imdb.com/find?q=Loha+1987+
1554,Maa Beti,Kalpataru,"Shashi Kapoor, Sharmila Tagore, Meenakshi Seshadri, Sachin Pilgaonkar, Tanuja, Pran, Kader Khan",,1987,http://www.imdb.com/find?q=Maa+Beti+1987+
1555,Maashuka,Arati Bhattacharya,"Kunal Kapoor, Moon Moon Sen, Arun Govil",Romance,1987,http://www.imdb.com/find?q=Maashuka+1987+
1556,Madadgaar,Ramanesh Puri,"Jeetendra, Sulakshana Pandit, Aruna Irani","Action, Crime, Drama, Romance",1987,http://www.imdb.com/find?q=Madadgaar+1987+
