id,Title,Director,Cast,Genre,year,imbd link
43,Moojrim,Kewal Misra,"Joy Mukherjee, Kumud Chuggani",Action,1970,http://www.imdb.com/find?q=Moojrim+1970+
44,My Love,S. Sukhdev,"Shashi Kapoor, Sharmila Tagore",Romance,1970,http://www.imdb.com/find?q=My+Love+1970+
45,Nanak Dukhiya Sab Sansar,Dara Singh,"Dara Singh, Balraj Sahni, Prithviraj Kapoor, Pran, Mumtaz",,1970,http://www.imdb.com/find?q=Nanak+Dukhiya+Sab+Sansar+1970+
46,Naya Raasta,Khalid Akhtar,"Jeetendra, Asha Parekh, Farida Jalal",Drama,1970,http://www.imdb.com/find?q=Naya+Raasta+1970+
47,Pagla Kahin Ka,Shakti Samanta,"Shammi Kapoor, Asha Parekh",Romance,1970,http://www.imdb.com/find?q=Pagla+Kahin+Ka+1970+
48,Pardesi,Kundan Kumar,Mumtaz,Drama,1970,http://www.imdb.com/find?q=Pardesi+1970+
49,Pavitra Paapi,Rajendra Bhatia,"Balraj Sahni, Tanuja",Drama,1970,http://www.imdb.com/find?q=Pavitra+Paapi+1970+
50,Pehchan,Sohanlal Kanwar,"Manoj Kumar, Babita",Romance,1970,http://www.imdb.com/find?q=Pehchan+1970+
51,Prem Pujari,Dev Anand,"Dev Anand, Waheeda Rehman, Shatrughan Sinha",Romance,1970,http://www.imdb.com/find?q=Prem+Pujari+1970+
52,Purab Aur Paschim,Manoj Kumar,"Manoj Kumar, Saira Banu, Madan Puri, Pran, Prem Chopra",Drama,1970,http://www.imdb.com/find?q=Purab+Aur+Paschim+1970+
53,Puraskar,,"Joy Mukherjee, Farida Jalal",Action,1970,http://www.imdb.com/find?q=Puraskar+1970+
54,Pushpanjali,Kishore Sahu,"Sanjay Khan, Prem Nath",Drama,1970,http://www.imdb.com/find?q=Pushpanjali+1970+
55,Raaton Ka Raja,,"Dheeraj Kumar, Shatrughan Sinha",Drama,1970,http://www.imdb.com/find?q=Raaton+Ka+Raja+1970+
56,Rootha Na Karo,Sunder Dar,"Shashi Kapoor, Aruna Irani, Nanda",Romance,1970,http://www.imdb.com/find?q=Rootha+Na+Karo+1970+
57,Saas Bhi Kabhi Bahu Thi,,"Sanjay Khan, Leena Chandavarkar",Drama,1970,http://www.imdb.com/find?q=Saas+Bhi+Kabhi+Bahu+Thi+1970+
58,Sachaa Jhutha,Manmohan Desai,"Rajesh Khanna, Mumtaz, Vinod Khanna",Drama,1970,http://www.imdb.com/find?q=Sachaa+Jhutha+1970+
